Segment,WC,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male
1,158,15.19,9.49,3.8,1.27,0,0.63,2.53,5.06,0,0,0,0
1,462,14.72,6.71,1.3,0.87,0,0.22,1.95,8.66,0,0,0.43,0
1,64,18.75,12.5,6.25,1.56,0,0,4.69,6.25,0,1.56,0,0
1,149,16.11,9.4,3.36,2.01,0,0,2.68,8.72,0,0,1.34,0
1,198,9.09,7.58,4.04,1.01,0,0,1.01,2.02,0,0,0,0
1,185,17.3,8.65,2.7,0.54,0,0,4.86,8.65,0,0,1.62,0
1,1017,13.86,6.19,2.16,0.59,0,0,2.16,8.06,0,0,2.56,0
1,1020,13.82,6.18,2.16,0.59,0,0,2.16,8.04,0,0,2.55,0
1,872,14.45,7.45,1.03,0.69,0.11,0.23,2.52,6.88,0,0,2.75,0.11
1,390,16.67,9.74,3.85,1.79,0.26,0,3.08,8.46,0,0.26,2.56,0
1,236,14.41,8.47,2.54,0.85,0,0.42,3.39,6.36,0,0,1.27,0.42
1,125,18.4,9.6,1.6,0.8,0,0,3.2,9.6,0,0,4,0.8
1,286,11.19,6.99,2.45,0.7,0,0,2.45,5.24,0,0,0,0
1,325,10.77,6.46,1.54,0.31,0,0,3.08,4.62,0,0,0,0
1,232,14.22,8.19,3.88,0.43,0,0,3.02,7.33,0,0,0.86,0
1,174,13.22,10.34,3.45,2.3,0,0,2.87,5.17,0,0,0,0
1,208,13.94,9.13,2.88,1.92,0,0,3.37,4.33,0,0.48,0,0
1,641,12.01,6.4,1.4,0.31,0,0,2.18,5.93,0,0,1.09,0.31
1,61,27.87,22.95,8.2,1.64,0,0,9.84,8.2,0,0,0,0
1,0,,,,,,,,,,,,
1,0,,,,,,,,,,,,
1,0,,,,,,,,,,,,
1,0,,,,,,,,,,,,
