Social,tone_pos,prosocial,Clout,Cognition,cogproc,allnone,emo_pos,emo_neg,Analytic,Drives,achieve,Segment,Linguistic
12.01,2.35,1.31,35.58,20.1,18.02,2.09,0,1.04,63.5,2.87,1.04,1,63.71
25.68,8.11,5.41,91.56,20.27,20.27,0,1.35,1.35,63.05,6.76,2.7,1,59.46
15.18,4.24,2.46,27.84,20.09,19.42,0.67,0.89,0.67,32.51,3.13,1.34,1,67.41
17.73,0.99,2.46,51.81,18.23,17.24,0.99,0,0.49,44.99,4.43,0.49,1,70.94
12.75,2.59,0.73,24.55,20.31,19.79,0.52,0.31,1.24,63.77,3.01,1.24,1,64.97
15.63,3.01,3.01,24.06,15.63,15.03,0.6,0.4,1.4,61.74,3.01,0.2,1,64.93
17.59,5.03,4.02,24.01,16.58,15.58,1.01,0.5,3.02,64.79,5.53,1.01,1,64.32
15.19,6.96,3.8,47.57,12.03,12.03,0,2.53,0,70.4,2.53,1.9,1,65.82
14.72,2.16,1.3,65.57,17.1,15.58,1.52,0.43,1.08,44.47,3.9,0.43,1,69.26
18.75,4.69,6.25,40.06,15.63,12.5,3.13,1.56,0,52.84,3.13,0,1,60.94
16.11,4.03,3.36,52.07,14.77,14.77,0,2.01,0,90.41,6.04,2.01,1,53.02
9.09,6.06,4.04,12.22,14.14,12.12,2.02,2.02,0,64.62,1.52,1.01,1,67.17
17.3,4.32,2.7,88.75,15.14,13.51,1.62,2.7,0,78.96,3.78,0.54,1,71.89
13.86,4.23,2.16,42.94,18.29,17.21,1.08,1.38,1.47,46.25,3.64,1.18,1,70.89
13.82,4.22,2.16,42.94,18.24,17.16,1.08,1.37,1.47,46.41,3.63,1.18,1,70.69
14.45,2.75,1.03,34.19,18.23,17.09,0.92,0.34,0.34,69.11,3.21,1.15,1,67.43
16.67,4.87,3.85,78.56,14.62,13.33,1.28,1.79,0.26,71.74,6.41,1.79,1,60.77
14.41,4.24,2.54,42.55,16.53,14.83,1.27,2.12,1.27,57.75,2.97,0.85,1,63.98
18.4,4,1.6,59.1,20,14.4,5.6,1.6,1.6,79.69,2.4,0,1,62.4
11.19,3.15,2.45,60.85,18.53,17.13,1.4,0.7,0.7,59.81,4.9,1.75,1,64.69
10.77,1.54,1.54,25.18,19.38,17.85,1.54,0.31,1.85,66.13,3.08,1.23,1,70.46
14.22,4.31,3.88,52.92,15.09,13.36,1.72,0.43,0,28.28,4.74,0.43,1,66.81
13.22,7.47,3.45,15.13,19.54,17.24,1.72,3.45,1.15,71.18,1.72,0.57,1,60.34
13.94,4.33,2.88,29.41,12.98,12.98,0,0.48,0,72.55,4.81,1.44,1,62.5
12.01,4.84,1.4,33.02,17.94,16.22,1.4,2.03,0.78,43.96,3.59,1.09,1,65.05
27.87,3.28,8.2,83.72,13.11,13.11,0,0,0,91.61,4.92,0,1,47.54
